name;id;bbox
Birkenwerder;birkenwerder;[13.244155, 52.680966, 13.366462, 52.726210]
Fürstenberg/Havel;fuerstenberg;[13.025932, 53.052517, 13.367348, 53.251268]
Glienicke/Nordbahn;glienickenordbahn;[13.302542, 52.622648, 13.361441, 52.643514]
Gransee;gransee;[13.071869, 52.950325, 13.279889, 53.172684]
Hennigsdorf;hennigsdorf;[13.153010, 52.586598, 13.243719, 52.675531]
Hohen Neuendorf;hohenneuendorf;[13.204278, 52.626863, 13.360669, 52.741477]
Kremmen;kremmen;[12.824630, 52.694905, 13.202959, 52.897262]
Leegebruch;leegebruch;[13.172589, 52.704637, 13.214815, 52.745457]
Liebenwalde;liebenwalde;[13.247267, 52.795605, 13.523166, 52.937672]
Löwenberger Land;loewenbergerland;[13.018086, 52.797492, 13.374922, 52.956880]
Mühlenbecker Land;muehlenbeckerland;[13.300428, 52.622729, 13.424270, 52.745277]
Oberkrämer;oberkaemer;[12.981542, 52.606637, 13.193747, 52.762668]
Oranienburg;oranienburg;[12.964344, 52.633948, 13.441901, 52.846322]
Velten;velten;[13.150741, 52.657896, 13.250130, 52.719247]
