name;id;bbox
Gemeinde Ahrensfelde;afg-ahrensfelde;[13.496662,52.545565,13.686099,52.654593]
Amt Altdöbern;amt-altdobern;[13.833523,51.540285,14.2175,51.713934]
Stadt Altlandsberg;afs-altlandsberg;[13.668648,52.539719,13.938829,52.64761]
Gemeinde Am Mellensee;afg-am-mellensee;[13.298255,52.086761,13.467352,52.212231]
Stadt Angermünde;afs-angermunde;[13.786725,52.931607,14.146939,53.159512]
Stadt Bad Belzig;afs-bad-belzig;[12.43429,52.069711,12.722558,52.270146]
Stadt Bad Freienwalde (Oder);afs-bad-freienwalde-(oder);[13.977671,52.727208,14.161611,52.903375]
Amt Bad Wilsnack/Weisen;amt-bad-wilsnackweisen;[11.748822,52.875974,12.049684,53.065203]
Landkreis Barnim;lk-barnim;[13.3952778,52.545566499,14.1566419,53.058682599]
Landkreis Barnim;lk-barnim;[13.3952778,52.545566499,14.1566419,53.058682599]
Amt Barnim-Oderbruch;amt-barnim-oderbruch;[13.837725,52.603565,14.331216,52.840222]
Stadt Baruth/Mark;afs-baruthmark;[13.27828,51.956674,13.652757,52.112723]
Stadt Beelitz;afs-beelitz;[12.781117,52.141106,13.103035,52.303546]
Stadt Beeskow;afs-beeskow;[14.176723,52.130882,14.37743,52.243754]
Amt Beetzsee;amt-beetzsee;[12.406429,52.416084,12.759703,52.557178]
Stadt Bernau bei Berlin;afs-bernau-bei-berlin;[13.467382,52.608549,13.668575,52.756807]
Gemeinde Bestensee;afg-bestensee;[13.587204,52.194592,13.711053,52.260428]
Amt Biesenthal-Barnim;amt-biesenthal-barnim;[13.499501,52.690987,13.87651,52.885703]
Gemeinde Birkenwerder;afg-birkenwerder;[13.244155,52.680966,13.366462,52.72621]
Gemeinde Blankenfelde-Mahlow;afg-blankenfelde-mahlow;[13.343601,52.287126,13.499029,52.377865]
Gemeinde Boitzenburger Land;afg-boitzenburger-land;[13.371492,53.189561,13.729339,53.350976]
kreisfreie Stadt Brandenburg an der Havel;kfs-brandenburg-an-der-havel;[12.361091,52.311631,12.725776,52.541827]
Gemeinde Brieselang;afg-brieselang;[12.8987,52.557828,13.049737,52.615524]
Amt Brieskow-Finkenheerd;amt-brieskow-finkenheerd;[14.453134,52.165326,14.716382,52.28711]
Amt Britz-Chorin-Oderberg;amt-britz-chorin-oderberg;[13.742279,52.787572,14.156018,52.967606]
Amt Brück;amt-bruck;[12.509805,52.133505,12.902165,52.321889]
Amt Brüssow (Uckermark);amt-brussow-(uckermark);[13.864502,53.321919,14.243589,53.441726]
Amt Burg (Spreewald);amt-burg-(spreewald);[14.072815,51.786043,14.312256,51.907813]
Stadt Calau / Kalawa;afs-calau;[13.798222,51.678401,14.050446,51.838919]
kreisfreie Stadt Cottbus / Chociebu?;kfs-cottbus;[14.273289,51.692574,14.501283,51.864221]
kreisfreie Stadt Cottbus / Chociebu?;kfs-cottbus;[14.273289,51.692574,14.501283,51.864221]
Landkreis Dahme-Spreewald;lk-dahme-spreewald;[13.4109651,51.726739399,14.4535504,52.421079699]
Amt Dahme/Mark;amt-dahmemark;[13.083026,51.790762,13.581987,51.99383]
Gemeinde Dallgow-Döberitz;afg-dallgow-doberitz;[12.991278,52.459311,13.168824,52.558275]
Stadt Doberlug-Kirchhain;afs-doberlug-kirchhain;[13.338355,51.592434,13.651273,51.704334]
Amt Döbern-Land;amt-dobern-land;[14.466974,51.549467,14.765748,51.781664]
Stadt Drebkau / Drjowk;afs-drebkau;[14.091742,51.579868,14.339834,51.728052]
Stadt Eberswalde;afs-eberswalde;[13.658205,52.776402,13.91029,52.882622]
Gemeinde Eichwalde;afg-eichwalde;[13.605219,52.364576,13.647069,52.381356]
Stadt Eisenhüttenstadt;afs-eisenhuttenstadt;[14.56535,52.0959,14.705458,52.227981]
Landkreis Elbe-Elster;lk-elbe-elster;[13.0508856,51.367728999,13.8905451,51.886071899]
Amt Elsterland;amt-elsterland;[13.358262,51.541225,13.700965,51.627702]
Stadt Elsterwerda;afs-elsterwerda;[13.458346,51.423918,13.606214,51.517092]
Stadt Erkner;afs-erkner;[13.722802,52.38275,13.791059,52.441609]
Amt Falkenberg-Höhe;amt-falkenberg-hohe;[13.72948,52.665753,14.007604,52.833446]
Stadt Falkensee;afs-falkensee;[13.000591,52.543509,13.153694,52.612746]
Gemeinde Fehrbellin;afg-fehrbellin;[12.645978,52.68113,12.985774,52.867263]
Stadt Finsterwalde;afs-finsterwalde;[13.628819,51.51885,13.81499,51.651138]
Stadt Forst (Lausitz) / Barš? (?užyca);afs-forst-(lausitz);[14.505018,51.653996,14.757817,51.821209]
kreisfreie Stadt Frankfurt (Oder);kfs-frankfurt-(oder);[14.394841,52.252793,14.601493,52.398206]
Gemeinde Fredersdorf-Vogelsdorf;afg-fredersdorf-vogelsdorf;[13.70967,52.486485,13.776761,52.551525]
Stadt Friedland;afs-friedland;[14.186469,52.024218,14.470295,52.15224]
Amt Friesack;amt-friesack;[12.513659,52.59524,12.768748,52.810632]
Stadt Fürstenberg/Havel;afs-furstenberghavel;[13.025932,53.052517,13.367348,53.251268]
Stadt Fürstenwalde/Spree;afs-furstenwaldespree;[13.937748,52.322674,14.149354,52.426899]
Amt Gartz (Oder);amt-gartz-(oder);[14.091989,53.126187,14.450565,53.33016]
Amt Gerswalde;amt-gerswalde;[13.565983,53.000832,13.912912,53.230358]
Gemeinde Glienicke/Nordbahn;afg-glienickenordbahn;[13.302545,52.622648,13.361441,52.643514]
Amt Golzow;amt-golzow;[14.411147,52.498294,14.639798,52.647236]
Amt Gramzow;amt-gramzow;[13.789255,53.120712,14.174717,53.349067]
Amt Gransee und Gemeinden;amt-gransee-und-gemeinden;[12.937797,52.950325,13.279889,53.185319]
Gemeinde Groß Kreutz (Havel);afg-gross-kreutz-(havel);[12.655358,52.364081,12.870793,52.473671]
Gemeinde Groß Pankow (Prignitz);afg-gross-pankow-(prignitz);[11.85212,53.016436,12.341294,53.199859]
Gemeinde Großbeeren;afg-grossbeeren;[13.240361,52.317178,13.388436,52.411722]
Stadt Großräschen;afs-grossraschen;[13.866278,51.559798,14.11187,51.632321]
Gemeinde Grünheide (Mark);afg-grunheide-(mark);[13.782714,52.356181,14.024224,52.478747]
Stadt Guben;afs-guben;[14.639898,51.898079,14.721676,52.015094]
Gemeinde Gumtow;afg-gumtow;[12.054006,52.912463,12.418749,53.081789]
Landkreis Havelland;lk-havelland;[12.1421717,52.438567599,13.1688227,52.810611399]
Gemeinde Heideblick;afg-heideblick;[13.505642,51.726739,13.764205,51.891589]
Gemeinde Heidesee;afg-heidesee;[13.669403,52.180435,13.863108,52.322992]
Gemeinde Heiligengrabe;afg-heiligengrabe;[12.289245,53.014442,12.516963,53.228747]
Stadt Hennigsdorf;afs-hennigsdorf;[13.15301,52.586598,13.243719,52.675531]
Stadt Herzberg (Elster);afs-herzberg-(elster);[13.050781,51.597953,13.334485,51.760025]
Stadt Hohen Neuendorf;afs-hohen-neuendorf;[13.204278,52.626863,13.360669,52.741477]
Gemeinde Hoppegarten;afg-hoppegarten;[13.610534,52.466453,13.688666,52.569557]
Amt Joachimsthal (Schorfheide);amt-joachimsthal-(schorfheide);[13.602276,52.901676,13.953144,53.058802]
Stadt Jüterbog;afs-juterbog;[12.956308,51.954921,13.233316,52.096021]
Gemeinde Karstädt;afg-karstadt;[11.550036,53.07137,11.854973,53.244337]
Stadt Ketzin/Havel;afs-ketzinhavel;[12.734336,52.450117,12.946821,52.561719]
Amt Kleine Elster (Niederlausitz);amt-kleine-elster-(niederlausitz);[13.657133,51.548576,13.890545,51.759639]
Gemeinde Kleinmachnow;afg-kleinmachnow;[13.157783,52.392416,13.249727,52.421175]
Gemeinde Kloster Lehnin;afg-kloster-lehnin;[12.50016,52.238354,12.828169,52.396185]
Gemeinde Kolkwitz / Go?kojce;afg-kolkwitz;[14.100458,51.699973,14.309674,51.807063]
Stadt Königs Wusterhausen;afs-konigs-wusterhausen;[13.568251,52.253647,13.757118,52.389359]
Stadt Kremmen;afs-kremmen;[12.82463,52.694905,13.202959,52.897262]
Stadt Kyritz;afs-kyritz;[12.189503,52.892642,12.557254,53.057066]
Stadt Lauchhammer;afs-lauchhammer;[13.630964,51.456041,13.872653,51.55412]
